sample,group,fastq_1,fastq_2
parent1,parent,data/raw/NG-A5996_HsCEG1_par_rep_libLAR7255_1.fastq.gz,data/raw/NG-A5996_HsCEG1_par_rep_libLAR7255_2.fastq.gz
mutant1,mutant,data/raw/NG-A5996_HsCEG1_mut1_libLAR5514_1.fastq.gz,data/raw/NG-A5996_HsCEG1_mut1_libLAR5514_2.fastq.gz
mutant2,mutant,data/raw/NG-A5996_HsCEG1_mut2_libLAR5509_1.fastq.gz,data/raw/NG-A5996_HsCEG1_mut2_libLAR5509_2.fastq.gz
mutant3,mutant,data/raw/NG-A5996_HsCEG1_mut3_libLAR5506_1.fastq.gz,data/raw/NG-A5996_HsCEG1_mut3_libLAR5506_2.fastq.gz
